,alpha,motor_kappa,lapse,lambda,sensory_kappa_0.06,sensory_kappa_0.12,sensory_kappa_0.24,prior_kappa,learning_rate,rho
readout_average,0.6670237326182121,31.080979436184393,0.012843159788711495,0.2614599735048919,2.298379626103188,10.385304520753325,79.95835502479355,,,
reliability_mixture,,39.03188976884521,0.010130228863487942,,2.784729455221455,14.32246906506025,79.95420945394511,79.92758525859179,0.07069861537611137,
integrated_prior,,24.632670654996453,0.0195390868828332,,2.5180463097584016,10.417952834225774,79.96004706891067,,,0.7546601870703066
