model,n_parameters,nll,aic,bic,delta_aic,evaluations,elapsed_seconds,optimizer_success,comparison_valid
readout_average,7,26940.428398139862,53894.856796279724,53944.904981528656,0.0,437,99.97079620003933,False,False
integrated_prior,6,27081.00698114472,54174.01396228944,54216.91240678853,279.1571660097179,430,2510.0361508999486,True,False
reliability_mixture,7,27253.12920407286,54520.25840814572,54570.30659339465,625.4016118659929,500,204.28063910000492,False,False
