model,start,evaluation,elapsed_seconds,nll
reliability_mixture,0,1,0.3214950999827124,31691.689973463734
reliability_mixture,0,2,0.6448159000137821,31726.99733431522
reliability_mixture,0,3,0.9678364000283182,31596.007266923087
reliability_mixture,0,4,1.2528047999949194,31685.965060257804
reliability_mixture,0,5,1.5811342999804765,31587.635160129903
reliability_mixture,0,6,1.9074025999871083,31589.0231727913
reliability_mixture,0,7,2.2238981000264175,31583.88873460578
reliability_mixture,0,8,2.5494143000105396,31583.72733952416
reliability_mixture,0,9,2.8788688000058755,31583.72261892837
reliability_mixture,0,10,3.2144291999866255,31583.722378915216
reliability_mixture,0,11,3.583087000006344,31583.722386114714
reliability_mixture,0,12,3.89681250002468,31583.722389962437
reliability_mixture,0,13,4.248164999997243,31992.600025729553
reliability_mixture,0,14,4.677024699980393,31494.25157092768
reliability_mixture,0,15,5.010638199979439,31374.252622473145
reliability_mixture,0,16,5.320142399985343,31364.378552895872
reliability_mixture,0,17,5.751949299999978,31363.868394829296
reliability_mixture,0,18,6.073904399992898,31363.464924498425
reliability_mixture,0,19,6.450447199982591,31363.441139889695
reliability_mixture,0,20,6.768407199997455,31363.440248798932
reliability_mixture,0,21,7.079106400022283,31363.44022664216
reliability_mixture,0,22,7.386106799996924,31363.44022995289
reliability_mixture,0,23,7.709180100006051,31363.440231783643
reliability_mixture,0,24,8.04528299998492,31789.458626069136
reliability_mixture,0,25,8.424502899986692,31463.575055332345
reliability_mixture,0,26,8.755745099973865,31325.816410956213
reliability_mixture,0,27,9.083644600003026,31275.2513471319
reliability_mixture,0,28,9.434137500007637,31255.74452838177
reliability_mixture,0,29,9.787573800014798,31247.18591607229
reliability_mixture,0,30,10.141428100003395,31242.971868335248
reliability_mixture,0,31,10.530054299975745,31240.719533679156
reliability_mixture,0,32,10.871124700002838,31239.448971665144
reliability_mixture,0,33,11.190617899992503,31238.70718420415
reliability_mixture,0,34,11.52219420002075,31238.264667106465
reliability_mixture,0,35,11.836273699998856,31237.99710788292
reliability_mixture,0,36,12.157777199987322,31237.8339768405
reliability_mixture,0,37,12.552365700015798,31237.733999554985
reliability_mixture,0,38,12.954511100018863,31237.672530310927
reliability_mixture,0,39,13.27259549999144,31237.634662038123
reliability_mixture,0,40,13.594925299985334,31237.611304576065
reliability_mixture,0,41,13.93826079997234,31237.596886574785
