,sum_AIC,sum_BIC
AT,806666.4777567445,807567.3561470776
static,807349.7410278433,808086.8233472066
adaptive,808950.0456301046,809441.4338430136
online,808986.7778359061,809478.166048815
int_deriv,809535.8804072678,810027.2686201766
int_free,809639.6578032936,810212.9440516874
