subj,n,dNLL,LR,p,dAIC_vs_static,dBIC_vs_static,tau_tighten,tau_loosen
1,8562,18.326594706719334,36.65318941343867,1.0986542670241409e-08,32.65318941343867,18.543011240035412,1.218516085538001e-20,5.05650466975242e-15
2,7877,3.31326685584645,6.6265337116929,0.03639707532264759,2.6265337116929004,-11.316871087707113,0.05772730985803428,0.5398162081131227
3,9412,15.312039932512562,30.624079865025124,2.2390590674555646e-07,26.624079865025124,12.32459836533235,227.99816026008796,0.002148801052986945
4,4801,7.472585277238977,14.945170554477954,0.0005684567771866699,10.945170554477954,-2.0079884625884006,6.550793836195187e-106,4.0154520968975457e-181
5,5789,106.0158881223033,212.0317762446066,9.075797439547734e-47,208.0317762446066,194.70434655644203,15.86515135260043,4.363187011720708
6,7553,72.72619037038385,145.4523807407677,2.6026563730959323e-32,141.4523807407677,127.59298051214137,10.744161800762853,0.06617736193248103
7,5797,-4.737989482080593,-9.475978964161186,1.0,-13.475978964161186,-26.80617060684017,0.13935915888606387,6.5997895859132625e-09
8,5797,14.987237696983357,29.974475393966713,3.098313570583205e-07,25.974475393966713,12.64428375128773,4.94982443823156e-34,9.704257623174652
9,8632,20.568316926153784,41.13663385230757,1.1675983079092399e-09,37.13663385230757,23.010170838431804,81.55137647072054,0.28923810642746406
10,6045,72.9170577156583,145.8341154313166,2.150424490624575e-32,141.8341154313166,128.42014190521877,94.08001704709146,0.19519817192081787
11,6474,24.84049964791484,49.68099929582968,1.6289512046870237e-11,45.68099929582968,32.12990042685851,10.675205077642719,0.35551225170526074
12,6474,13.88994777966218,27.77989555932436,9.282657471773205e-07,23.77989555932436,10.228796690353192,10.396441587412346,0.6692915455203244
