subject_id,checkpoint_state,recorded_at,start_id,start_source,subject_seed,nll,initial_nll,nll_improvement,elapsed_seconds,evaluations,success,status,rho,motor_kappa,lapse,sensory_kappa_coherence_0.06,sensory_kappa_coherence_0.12,sensory_kappa_coherence_0.24,initial_rho,initial_motor_kappa,initial_lapse,initial_sensory_kappa_coherence_0.06,initial_sensory_kappa_coherence_0.12,initial_sensory_kappa_coherence_0.24
1,completed,2026-07-20T08:34:48,0,declared_default,20261729,24863.01953125,25891.1484375,1028.12890625,554.0520146000199,198,True,Optimization terminated successfully.,0.8342765987645118,23.704721194515855,0.03219844562977428,2.638923394032647,13.360936310109913,79.96210022484757,0.95,30.0,0.02,1.5,4.242640687119285,12.0
2,completed,2026-07-20T09:49:01,2,stratified_random,20262738,24238.904296875,25498.95703125,1260.052734375,698.7909328000096,257,True,Optimization terminated successfully.,0.6736047583693886,19.303926922636695,0.0403548905928608,1.1240797684316373,1.645229457515212,16.532863783863682,0.7753027934841417,10.301160482392584,0.021534806902686707,1.0076725601958343,15.35073201553808,20.569974606008078
3,completed,2026-07-20T10:23:18,1,stratified_random,20263747,27081.416015625,28094.4921875,1013.076171875,814.4176147999824,267,True,Optimization terminated successfully.,0.7300148948306139,25.196820528771156,0.020777749504019307,2.6362208396823905,10.529540009206114,79.77972858264971,0.7683585854186592,68.36247096812174,0.14532161714321187,5.2149124152388735,5.928614838907575,76.08152037968466
4,completed,2026-07-20T11:11:47,2,stratified_random,20264756,15530.9296875,16460.7265625,929.796875,417.9540272000013,264,True,Optimization terminated successfully.,0.5504360073697437,12.840587893571376,0.06365268288488457,1.8278104216637927,5.215130523707604,58.86327067839474,0.843889390663836,46.5124411176549,0.02023737684534464,1.5228990349963216,6.171245819859397,56.56931925835481
5,completed,2026-07-20T11:57:34,3,stratified_random,20265765,22114.37890625,22767.986328125,653.607421875,564.1062706999946,300,False,Maximum number of function evaluations has been exceeded.,0.11082476400505822,2.458346455628792,0.19996476031172206,66.37552201419393,79.97031107892244,79.97203757121481,0.5911692877688162,2.140411408828407,0.049592045726053406,1.0618084397943912,3.8855039712359325,9.308407809931468
6,completed,2026-07-20T12:08:41,0,declared_default,20266774,25689.732421875,27488.19921875,1798.466796875,667.2925878000096,272,True,Optimization terminated successfully.,0.7968594770346358,7.919337888868593,0.08150420426200981,1.7304602875410247,8.522415918591674,79.5823311593735,0.95,30.0,0.02,1.5,4.242640687119285,12.0
7,completed,2026-07-20T13:20:11,3,stratified_random,20267783,17977.41796875,18739.30859375,761.890625,564.2180841999943,300,False,Maximum number of function evaluations has been exceeded.,0.6261318674429642,19.09514723153427,0.05914278141020757,2.4890579177497085,9.440693704001053,65.34180623952747,0.7734823950641906,24.356100487119182,0.030340475817530996,0.9786826900146358,5.874396366289342,7.2844288033908615
8,completed,2026-07-20T13:57:48,3,stratified_random,20268792,21667.349609375,25475.20703125,3807.857421875,562.9277744999854,300,False,Maximum number of function evaluations has been exceeded.,0.9459555544176466,4.774861913321388,0.1999482449218665,0.9635178385848487,2.8433495063087677,79.15569092665133,0.41071802734399177,22.912023525137442,0.014458789823910035,0.8136603470103749,1.8421241706508282,7.925877625668767
9,completed,2026-07-20T14:11:41,0,declared_default,20269801,28636.369140625,30471.484375,1835.115234375,833.0374645999982,300,False,Maximum number of function evaluations has been exceeded.,0.5694379767827865,10.298979177536475,0.07670351706592152,2.1531573579347865,7.653536064365486,75.4733254593875,0.95,30.0,0.02,1.5,4.242640687119285,12.0
10,completed,2026-07-20T15:21:20,2,stratified_random,20270810,21367.64453125,25115.734375,3748.08984375,536.9035951999831,270,True,Optimization terminated successfully.,0.7782847264106818,13.822074202052617,0.19841081459765678,1.2736469092185654,3.19319762031853,16.410919234123746,0.3410688416252626,53.77078404221873,0.025441508960175982,10.723579524601519,15.687665847559952,37.354285746851005
11,completed,2026-07-20T15:41:16,0,declared_default,20271819,21323.208984375,22674.244140625,1351.03515625,605.2568339999998,282,True,Optimization terminated successfully.,0.2882611399382174,14.514150297337743,0.08712953362060989,2.3826773064673055,5.986108199493014,75.10496876875928,0.95,30.0,0.02,1.5,4.242640687119285,12.0
12,completed,2026-07-20T16:46:56,3,stratified_random,20272828,22460.00390625,23231.580078125,771.576171875,546.857062599971,257,True,Optimization terminated successfully.,0.5789292140682069,11.306209500596974,0.13200362728921505,1.5176881616295856,3.313583400045533,16.266183622538673,0.9595112403569485,6.69017190877174,0.003961085410607043,1.254271275271024,2.6039843268104934,29.055492867204638
