subject_id,session_id,run_id,trial_index,motion_direction,estimate_deg,prior_mean,prior_std,motion_coherence,prior_kappa_t,predicted_estimate_deg,p_observed,predicted_error_from_motion,observed_error_from_motion,fit_readout,model_simulated_estimate_deg,model_simulated_error_from_motion,model_simulated_is_lapse
1,1,1,1,225.0,225.5831134473405,225.0,10.0,0.12,40.25496066545633,225.0,0.0212329387531681,0.0,0.583113447340537,MAP,221.46231536545423,-3.5376846345457693,False
1,1,1,2,225.0,223.29128226681752,225.0,10.0,0.12,40.25496066545633,225.0,0.0211347903215463,0.0,-1.708717733182482,MAP,231.52859043946358,6.528590439463585,False
1,1,1,3,235.0,231.31269139864895,225.0,10.0,0.06,40.25496066545633,226.0,0.0201967860224889,-9.0,-3.68730860135102,MAP,236.1802476967503,1.180247696750314,False
1,1,1,4,225.0,230.1667758083872,225.0,10.0,0.06,40.25496066545633,225.0,0.0202522128975125,0.0,5.1667758083872,MAP,325.6534290769872,100.65342907698721,True
1,1,1,5,215.0,229.02086021812568,225.0,10.0,0.24,40.25496066545633,222.0,0.0194490737798901,7.0,14.020860218125677,MAP,238.47939085256453,23.479390852564535,False
1,1,1,6,205.0,223.29128226681752,225.0,10.0,0.24,40.25496066545633,218.0,0.0202050049887089,13.0,18.29128226681752,MAP,211.62362967794826,6.623629677948259,False
1,1,1,7,235.0,226.72902903760223,225.0,10.0,0.06,40.25496066545633,226.0,0.0212256379548639,-9.0,-8.270970962397769,MAP,261.38059346306,26.380593463059995,False
1,1,1,8,215.0,219.85353549603232,225.0,10.0,0.12,40.25496066545633,223.0,0.0208715751374341,8.0,4.853535496032322,MAP,200.86165634258305,-14.138343657416954,False
1,1,1,9,225.0,230.1667758083872,225.0,10.0,0.12,40.25496066545633,225.0,0.0202522128975125,0.0,5.1667758083872,MAP,236.45801206107848,11.458012061078477,False
1,1,1,10,225.0,235.8963537596956,225.0,10.0,0.12,40.25496066545633,225.0,0.0171832364562066,0.0,10.896353759695558,MAP,228.85162076649928,3.8516207664992805,False
1,1,1,11,225.0,230.1667758083872,225.0,10.0,0.06,40.25496066545633,225.0,0.0202522128975125,0.0,5.1667758083872,MAP,228.3582935166616,3.358293516661604,False
1,1,1,12,235.0,226.72902903760223,225.0,10.0,0.12,40.25496066545633,227.0,0.0212431089177124,-8.0,-8.270970962397769,MAP,220.2613516237525,-14.738648376247511,False
1,1,1,13,225.0,223.29128226681752,225.0,10.0,0.24,40.25496066545633,225.0,0.0211347903215463,0.0,-1.708717733182482,MAP,228.9720927285548,3.9720927285547987,False
1,1,1,14,225.0,229.02086021812568,225.0,10.0,0.06,40.25496066545633,225.0,0.0206381798774995,0.0,4.0208602181256765,MAP,232.12587223688013,7.125872236880127,False
1,1,1,15,215.0,220.9994510862942,225.0,10.0,0.06,40.25496066545633,224.0,0.0209052036614488,9.0,5.999451086294215,MAP,240.67745800225842,25.67745800225842,False
1,1,1,16,225.0,223.29128226681752,225.0,10.0,0.12,40.25496066545633,225.0,0.0211347903215463,0.0,-1.708717733182482,MAP,195.77680069832513,-29.223199301674867,False
