model,model_label,subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,median_believed_sd,p25_believed_sd,p75_believed_sd,mean_believed_alpha
hb_adaptive,HB-Adaptive,1,0.24,10,late,100,10.074531913528254,10.162210799155481,9.812064173742435,10.41283994995815,0.9557940392490919
hb_adaptive,HB-Adaptive,1,0.24,10,middle,98,10.071944431638912,10.108372016451327,9.757652674605986,10.492392024297347,0.9547105058069755
hb_adaptive,HB-Adaptive,1,0.24,20,early,78,16.506099666068202,16.65367955992209,14.176607354256953,18.957158184474007,0.8731385406502589
hb_adaptive,HB-Adaptive,1,0.24,20,late,95,17.983132272449446,18.443657526963886,16.28395477041183,19.638263509313717,0.903150873471025
hb_adaptive,HB-Adaptive,1,0.24,20,middle,76,18.192729644695152,18.35718695445587,17.017389619754518,19.40617447090078,0.9129951883830214
hb_adaptive,HB-Adaptive,1,0.24,40,early,81,25.883053894526448,26.47115113796163,21.559678085180575,30.466632229212944,0.8024285635297258
hb_adaptive,HB-Adaptive,1,0.24,40,late,79,25.109497587166388,25.3515546036038,19.85586059197945,31.95291863157633,0.7961736661284934
hb_adaptive,HB-Adaptive,1,0.24,40,middle,82,27.453394967423133,28.790257289770352,22.981131528673096,32.11728346177449,0.8225340358503234
hb_adaptive,HB-Adaptive,1,0.24,80,early,191,26.62486927582345,27.642662495075964,21.075599859903623,31.799253652639017,0.5522350345569502
hb_adaptive,HB-Adaptive,1,0.24,80,late,181,28.669337048594773,30.13040285287581,23.742105706728008,34.02840300508347,0.5396564815161742
hb_adaptive,HB-Adaptive,1,0.24,80,middle,220,26.87347617667539,27.52323641320448,21.192580847007193,32.516527392451756,0.5339281688010735
hb_adaptive,HB-Adaptive,2,0.06,10,early,233,10.695575866125397,10.29940402507418,9.532830112369394,11.343954121478282,0.8923567242899512
hb_adaptive,HB-Adaptive,2,0.06,10,late,254,10.280184327019137,10.222427577772237,9.723261054148317,10.717955843141905,0.9132239697152049
hb_adaptive,HB-Adaptive,2,0.06,10,middle,262,10.303160287041537,10.189104550746883,9.734456778802631,10.648427147665926,0.915953188249962
hb_adaptive,HB-Adaptive,2,0.06,20,early,285,16.697895971800097,16.400259427554513,13.898614859142038,19.144401458306945,0.8222174078154783
hb_adaptive,HB-Adaptive,2,0.06,20,late,294,16.97424340497616,16.948369057431417,14.488837311805703,19.104972058362886,0.8416569791283686
hb_adaptive,HB-Adaptive,2,0.06,20,middle,277,17.21472744747066,17.000654822722876,14.381608168310184,19.498291423132954,0.8282363556793414
hb_adaptive,HB-Adaptive,2,0.06,40,early,263,22.802017573686676,22.942791057662625,17.832863902803165,28.036970811890697,0.6951174200474279
hb_adaptive,HB-Adaptive,2,0.06,40,late,262,24.53846710765609,25.777293102709628,20.232433665714566,29.22583348145224,0.6863675809450511
hb_adaptive,HB-Adaptive,2,0.06,40,middle,283,23.85127636247322,24.575156322933584,19.169798167504318,28.805107786665474,0.6764392296385673
hb_adaptive,HB-Adaptive,2,0.06,80,early,512,24.787428208292397,25.954527396288427,19.85584938963171,29.95743041038861,0.5311665652099796
hb_adaptive,HB-Adaptive,2,0.06,80,late,489,26.15314573314092,27.493994723943736,22.29330522261227,30.894661861472922,0.5195631019582557
hb_adaptive,HB-Adaptive,2,0.06,80,middle,483,25.67141276280339,26.5585548856641,22.06544529318799,30.224160527900906,0.5188691948783148
hb_adaptive,HB-Adaptive,2,0.12,10,early,179,10.716062182822533,10.318995291072117,9.426989504738977,11.349412027753042,0.8922302992641212
hb_adaptive,HB-Adaptive,2,0.12,10,late,163,10.213443562609717,10.171566433135599,9.572869406537563,10.713407457093123,0.9139536410283426
hb_adaptive,HB-Adaptive,2,0.12,10,middle,169,10.277214583069489,10.20469921467343,9.847193499801797,10.608030029761515,0.9186258806009513
hb_adaptive,HB-Adaptive,2,0.12,20,early,213,17.37073050171766,17.149846734980972,14.614117594983433,19.54940128714352,0.8132277868744676
hb_adaptive,HB-Adaptive,2,0.12,20,late,194,17.415454361519423,17.347792857954815,15.168323265457733,19.587350982938005,0.825809544105605
hb_adaptive,HB-Adaptive,2,0.12,20,middle,193,17.51836870910971,17.28294494066925,14.945854091919816,20.23995709024479,0.8290296035994082
hb_adaptive,HB-Adaptive,2,0.12,40,early,202,23.770731658704403,25.16918331200258,18.973697936081862,28.40081634982861,0.6854473329261953
hb_adaptive,HB-Adaptive,2,0.12,40,late,200,22.901094343860834,23.69005396415384,17.97827966594057,27.877775458763107,0.68648406591098
hb_adaptive,HB-Adaptive,2,0.12,40,middle,198,24.13325720560213,25.402037590411425,19.359545758502083,28.98429991200879,0.6781588488512296
hb_adaptive,HB-Adaptive,2,0.12,80,early,330,24.715399141113654,26.284752866926254,19.382743494738158,29.931136824436795,0.5330733864516563
hb_adaptive,HB-Adaptive,2,0.12,80,late,361,25.901018687914238,27.100478031513926,22.72047820753994,30.438878286097427,0.5254701279984866
hb_adaptive,HB-Adaptive,2,0.12,80,middle,359,25.893739690335305,28.016386150678823,23.11988518537663,30.44094148052279,0.5135739334609296
hb_adaptive,HB-Adaptive,2,0.24,10,early,85,10.802987244119182,10.200196639871672,9.184312381205261,11.421294381883067,0.8936661240403061
hb_adaptive,HB-Adaptive,2,0.24,10,late,80,10.344337841280732,10.288853023992285,9.75296624388417,10.845160272081195,0.9102416714627445
hb_adaptive,HB-Adaptive,2,0.24,10,middle,66,10.307975712408926,10.170253911284476,9.783471962954179,10.6624318041522,0.9125390370393767
hb_adaptive,HB-Adaptive,2,0.24,20,early,78,16.437238088002694,16.627060013011786,13.363167749929133,19.151718112984298,0.8193413790164038
hb_adaptive,HB-Adaptive,2,0.24,20,late,88,17.823445502470552,17.89355466563063,15.700430435393557,20.232428002812743,0.821133918271283
hb_adaptive,HB-Adaptive,2,0.24,20,middle,98,17.014313428244265,16.84912393101772,14.472392876231147,18.860386779675302,0.8318885680266097
hb_adaptive,HB-Adaptive,2,0.24,40,early,87,23.832707587495648,24.66805599904721,19.522733521235338,27.815310989119954,0.6751750682253369
hb_adaptive,HB-Adaptive,2,0.24,40,late,90,23.63822117871426,24.49053763866507,19.74906228250593,28.078735382404464,0.6778023855994679
hb_adaptive,HB-Adaptive,2,0.24,40,middle,71,23.155609280697604,24.468656402597826,18.67498626472169,27.71482791334141,0.6784660554824633
hb_adaptive,HB-Adaptive,2,0.24,80,early,166,23.80320343441603,24.940681334300805,18.387554001598698,29.46461487568759,0.5347318391924838
hb_adaptive,HB-Adaptive,2,0.24,80,late,158,26.15384781464525,27.59769822997344,23.62784658398575,30.574809851072658,0.5252455482375101
hb_adaptive,HB-Adaptive,2,0.24,80,middle,152,25.364534045334228,26.260177811236566,21.62514811094372,30.09397606178546,0.5239323474289966
hb_adaptive,HB-Adaptive,3,0.06,10,early,314,10.458266885571716,10.082538456815442,9.068430599040424,10.733563341178495,0.9125373600125987
hb_adaptive,HB-Adaptive,3,0.06,10,late,322,10.254758717147466,10.238368926035047,9.873893936361586,10.528920979340292,0.9459305653806008
hb_adaptive,HB-Adaptive,3,0.06,10,middle,327,10.17326377662424,10.161379721895912,9.685960136454813,10.612602419485706,0.9441521689865893
hb_adaptive,HB-Adaptive,3,0.06,20,early,321,17.95845730797706,18.227326829739276,15.088877863450195,20.73061621169699,0.8642059215968972
hb_adaptive,HB-Adaptive,3,0.06,20,late,320,17.726518697322287,17.82751285220737,16.436130180458953,19.21151656482267,0.8964759928139975
hb_adaptive,HB-Adaptive,3,0.06,20,middle,304,17.103564526276024,17.16124416728171,15.482343438027065,18.78092615606938,0.8974042364237672
hb_adaptive,HB-Adaptive,3,0.06,40,early,260,24.96170148951058,25.49401451483034,19.94446205396349,29.904849452637436,0.767657483442925
hb_adaptive,HB-Adaptive,3,0.06,40,late,265,27.056426109092584,28.324273812949727,22.457702966356944,31.992081475821607,0.7802272113480605
hb_adaptive,HB-Adaptive,3,0.06,40,middle,279,25.071896111982696,25.662963557699666,20.37323336802677,30.23535374436689,0.7784007374690679
hb_adaptive,HB-Adaptive,3,0.06,80,early,652,26.543876899075055,27.773534578161307,21.52573385304399,31.98639940591577,0.5432376200835778
hb_adaptive,HB-Adaptive,3,0.06,80,late,606,26.68633856182332,28.224450017453464,21.689862508688456,32.00201841224248,0.5417711901712606
hb_adaptive,HB-Adaptive,3,0.06,80,middle,661,26.378155344339735,27.769378203049776,20.92092556417215,32.05863175479457,0.5466391420089934
hb_adaptive,HB-Adaptive,3,0.12,10,early,229,10.432428353201603,10.055033359918212,9.049737701000167,10.938400609540734,0.909922886295511
hb_adaptive,HB-Adaptive,3,0.12,10,late,221,10.267808746823384,10.19332559290213,9.89480453030346,10.535423947948768,0.9468972451662063
hb_adaptive,HB-Adaptive,3,0.12,10,middle,210,10.136817994850215,10.1933861586115,9.744701024230558,10.49190780900677,0.9464510641705501
hb_adaptive,HB-Adaptive,3,0.12,20,early,220,17.792455276724322,17.79054774005484,15.160259218345919,20.491039888515893,0.873183170573746
hb_adaptive,HB-Adaptive,3,0.12,20,late,225,17.806844496415106,17.91472394206119,16.1403081954295,19.856728871512534,0.8896125603115259
hb_adaptive,HB-Adaptive,3,0.12,20,middle,230,17.33772322675461,17.564974125013073,15.765546726074687,19.15562147487286,0.8959179594226023
hb_adaptive,HB-Adaptive,3,0.12,40,early,198,25.15518698832507,25.203111162886636,20.633781114439362,28.986300857166707,0.7619804708841394
hb_adaptive,HB-Adaptive,3,0.12,40,late,202,26.344419622735394,27.38099213163278,22.485764103006566,30.863207398217632,0.7660064018023122
hb_adaptive,HB-Adaptive,3,0.12,40,middle,198,25.713972925147292,27.411130679718053,21.939972586043332,30.672350250229087,0.7785060689213535
hb_adaptive,HB-Adaptive,3,0.12,80,early,442,26.078599347856148,27.215456831434178,20.59300851378764,31.616818814852394,0.5414607356525539
hb_adaptive,HB-Adaptive,3,0.12,80,late,472,26.554233532515163,27.790802599849478,21.391574258309355,31.752595691016552,0.544135148970986
hb_adaptive,HB-Adaptive,3,0.12,80,middle,435,26.04166713444108,27.103151374507828,20.68378733536229,31.161126448753954,0.5447977965324933
hb_adaptive,HB-Adaptive,3,0.24,10,early,105,10.28977466947822,10.05496675215448,8.960890670942595,10.674929887909265,0.9109475426986003
hb_adaptive,HB-Adaptive,3,0.24,10,late,105,10.219059428943572,10.188325674745593,9.865171184289173,10.480528217448871,0.9484852874061216
hb_adaptive,HB-Adaptive,3,0.24,10,middle,108,10.30191342073369,10.248757938080697,9.694819160390548,10.806137450148922,0.9405065106431645
hb_adaptive,HB-Adaptive,3,0.24,20,early,95,18.467295270056773,18.517932662079424,16.636675531198414,20.724440930846935,0.867888701558977
hb_adaptive,HB-Adaptive,3,0.24,20,late,91,17.9587641514741,18.18493743524582,16.44986349704402,19.429716896161885,0.8952540802760534
hb_adaptive,HB-Adaptive,3,0.24,20,middle,96,16.896946717645324,17.093273775395666,15.596564847571488,18.43327916700966,0.8994005659538251
hb_adaptive,HB-Adaptive,3,0.24,40,early,90,25.835701855454182,27.324936768800704,19.87407023948809,30.967195923723448,0.7723525472506204
hb_adaptive,HB-Adaptive,3,0.24,40,late,81,25.452825412906485,26.422111357953614,20.956351083036207,30.208378590062527,0.7689294114573618
hb_adaptive,HB-Adaptive,3,0.24,40,middle,73,25.148137031896248,25.259708428862083,20.510271726732206,30.16035120901077,0.7833919839393066
hb_adaptive,HB-Adaptive,3,0.24,80,early,215,27.35690788511786,28.77317707035708,22.98871224643296,32.68199878574974,0.5230669344481652
hb_adaptive,HB-Adaptive,3,0.24,80,late,231,26.543954202013488,28.18559767455662,22.310553071426718,31.78504055158964,0.52975155522669
hb_adaptive,HB-Adaptive,3,0.24,80,middle,209,27.802095759933394,29.13378063712039,24.319936326267662,32.49595859099959,0.5405216757626826
hb_adaptive,HB-Adaptive,4,0.06,10,early,141,10.87131648238422,10.502238696625193,9.70586540649443,11.4062400725388,0.8757215176463609
hb_adaptive,HB-Adaptive,4,0.06,10,late,137,10.415890225284093,10.294464301855562,9.766741885459258,10.765286531746106,0.9033377136804666
hb_adaptive,HB-Adaptive,4,0.06,10,middle,150,10.188256180997032,10.06628496217132,9.492501763721352,10.649444796480937,0.90190311613051
hb_adaptive,HB-Adaptive,4,0.06,20,early,173,17.103354647229764,16.67528949871404,13.65753095605221,20.678915988619988,0.7903442791494835
hb_adaptive,HB-Adaptive,4,0.06,20,late,180,16.94470362817663,16.428805244369087,14.446809005029554,19.537384294606635,0.8205827448958966
hb_adaptive,HB-Adaptive,4,0.06,20,middle,182,16.79798106234244,16.679036087280487,13.80172400568932,19.65032913853876,0.8099860753414844
hb_adaptive,HB-Adaptive,4,0.06,40,early,164,22.621696072471728,24.090215450288042,17.2293068063653,27.76260051171803,0.656651182380548
hb_adaptive,HB-Adaptive,4,0.06,40,late,177,22.755220040379978,23.2459564574865,17.919736547504343,28.081908190574822,0.6596170656320317
hb_adaptive,HB-Adaptive,4,0.06,40,middle,164,24.371190876290704,25.621192275610888,19.50082454204531,29.23942074154525,0.6684595072684546
hb_adaptive,HB-Adaptive,4,0.06,80,early,308,24.9092945472808,26.307015369870683,20.760338140033664,30.05827282070734,0.5254514098304226
hb_adaptive,HB-Adaptive,4,0.06,80,late,312,25.110877158427105,25.95874088414042,21.100371144101118,29.886164209358565,0.5255184996042932
hb_adaptive,HB-Adaptive,4,0.06,80,middle,291,25.8030994919696,27.149793337414298,22.8044309677647,30.193569542145607,0.5174732856494229
hb_adaptive,HB-Adaptive,4,0.12,10,early,93,10.786246646370174,10.501193115655616,9.628404001529237,11.472139886873077,0.8807075547230218
hb_adaptive,HB-Adaptive,4,0.12,10,late,102,10.542334767557117,10.386856078273166,9.8444654763733,10.867970567834423,0.8987385650427336
hb_adaptive,HB-Adaptive,4,0.12,10,middle,97,10.09120386928152,9.948281744530236,9.622688388012266,10.561825380855097,0.9083693665755291
hb_adaptive,HB-Adaptive,4,0.12,20,early,139,16.817900478193746,16.620242323658243,13.47217336215947,19.18976335524821,0.7884941280950887
hb_adaptive,HB-Adaptive,4,0.12,20,late,123,17.64976701880004,17.755219832900853,15.012387995475223,20.600980384562977,0.820136948235295
hb_adaptive,HB-Adaptive,4,0.12,20,middle,113,16.931885087630242,16.454598888441627,14.311034954767281,19.53921873544097,0.8093361534700311
hb_adaptive,HB-Adaptive,4,0.12,40,early,126,23.369820741122332,24.38016263810093,17.696915126796384,29.263318129704675,0.6631512527345005
hb_adaptive,HB-Adaptive,4,0.12,40,late,116,22.987052082108047,23.909945262702145,18.028103059544883,28.33965815075618,0.6660749914287235
hb_adaptive,HB-Adaptive,4,0.12,40,middle,133,23.561389741887787,24.935408887687636,18.10067486163708,29.040038176119147,0.6699897021204989
hb_adaptive,HB-Adaptive,4,0.12,80,early,217,24.755253397929145,25.850740337489484,20.955852026471533,29.637230893357454,0.525488233044533
hb_adaptive,HB-Adaptive,4,0.12,80,late,204,25.824040348497302,28.05005225326424,23.243969315063154,29.951723826483693,0.5209212432825641
hb_adaptive,HB-Adaptive,4,0.12,80,middle,219,24.23153465297576,25.84882497553428,18.63039342072519,29.439850488752352,0.5252087885209956
hb_adaptive,HB-Adaptive,4,0.24,10,early,50,11.37285127662313,10.59064630063466,9.884819782589997,11.896752003797966,0.8554800924107281
hb_adaptive,HB-Adaptive,4,0.24,10,late,45,10.511945543221987,10.232093033505572,9.836530403681701,10.88500331065445,0.8942186024378793
hb_adaptive,HB-Adaptive,4,0.24,10,middle,37,10.581890743180107,10.278555457181238,9.883791419253901,11.075334741388021,0.8888163730125637
hb_adaptive,HB-Adaptive,4,0.24,20,early,48,16.149845761885388,15.5575504076231,13.394285325237608,18.024496637304974,0.7881827028532533
hb_adaptive,HB-Adaptive,4,0.24,20,late,57,17.245901647788877,16.487113073643677,14.854390471418474,20.08435116747586,0.8168750467491555
hb_adaptive,HB-Adaptive,4,0.24,20,middle,60,17.140776878961734,16.917870888822073,13.273314485258005,20.575890137388637,0.7988145967922538
hb_adaptive,HB-Adaptive,4,0.24,40,early,55,22.901391218364378,23.41097975522054,19.10725048453955,27.621436622674437,0.6563213522292835
hb_adaptive,HB-Adaptive,4,0.24,40,late,52,22.49536260932744,23.342720214890903,17.16449682826898,27.567511447360964,0.6706732556265828
hb_adaptive,HB-Adaptive,4,0.24,40,middle,48,21.746594095131513,22.35514822011129,15.469043677970953,27.373992109049084,0.6733951365310401
hb_adaptive,HB-Adaptive,4,0.24,80,early,91,24.904396644401615,28.027124179539868,18.53776291452326,30.10209491609091,0.5401448665125802
hb_adaptive,HB-Adaptive,4,0.24,80,late,100,26.168335638747713,27.624863163927095,23.65072155617499,30.50962144465933,0.5130871794925782
