subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,mean_believed_alpha,median_believed_sd,median_believed_alpha
1,0.06,10,early,290,10.725585690047646,0.9315912078945278,10.08508361435884,0.9556894989904964
1,0.06,10,late,288,10.137773348268013,0.9545207089577007,10.166392309264634,0.9623899220907401
1,0.06,10,middle,278,10.177276114760897,0.9543947091404812,10.205366767278374,0.9621739843814892
1,0.06,20,early,297,17.579942974148913,0.8741970262887496,17.907357321791213,0.9047251659166727
1,0.06,20,late,262,17.944295801165147,0.9115914489575108,18.04606034531315,0.9288489402384458
1,0.06,20,middle,279,18.08509882970305,0.9131377663941128,18.029580619017494,0.9311654761191636
1,0.06,40,early,270,25.92270614796814,0.7888645393124482,26.07353853797637,0.816653845897269
1,0.06,40,late,267,25.887504981524973,0.801571792207937,26.735659666255806,0.8221302187953826
1,0.06,40,middle,265,27.105040429587863,0.8172635949392657,28.284508346736914,0.8422714825373852
1,0.06,80,early,588,26.533372113173858,0.5351762537987099,27.664736531070695,0.5161131727146605
1,0.06,80,late,565,27.684388692213144,0.541961380267616,29.039433155652553,0.5265116480464772
1,0.06,80,middle,561,27.398580247984174,0.5295104858463073,28.467200601362187,0.5086962022417881
1,0.12,10,early,200,10.270710881394482,0.9317099595305335,10.124233372941386,0.9561389703146019
1,0.12,10,late,189,10.180843319643555,0.9563551414985251,10.174904506120136,0.962562082722867
1,0.12,10,middle,198,10.08337800144157,0.9558298182606128,10.13456447660154,0.9621775790935065
1,0.12,20,early,189,17.527034808438966,0.8838302792711655,17.588495380195017,0.9122044739917479
1,0.12,20,late,207,17.733355942044327,0.9150634095745326,17.94314368771295,0.9298356679259004
1,0.12,20,middle,204,18.100374002444042,0.9078472228566106,18.346784273423566,0.9294526325453609
1,0.12,40,early,195,26.854900622149398,0.7844690373599292,28.063970815073084,0.8092365679884101
1,0.12,40,late,200,26.55499898266981,0.7974436730855667,27.51475480848994,0.8290038591075048
