model,label,n_fit_subjects,n_cv_subjects,n_fit_trials,n_cv_trials,sum_nll,sum_aic,sum_bic,train_nll_per_trial,train_bits_per_trial_over_uniform,cv_nll,cv_nll_per_trial,cv_bits_per_trial_over_uniform,cv_bits_subject_mean,cv_bits_subject_sem,color,delta_aic_from_best,delta_bic_from_best
switch,Switch,12,12,83213,83213,403052.22197532566,806320.4439506513,807057.5262700147,4.843620852214506,1.5039853128934313,411080.8680865124,4.940103927108893,1.3647896592135798,1.2975262948071633,0.20121269742827083,#30638e,0.0,0.0
hb_adaptive,HB-Adaptive,12,12,83213,83213,404202.6900557385,808549.380111477,809040.7683243859,4.857446433318574,1.4840392155971838,406727.12170906726,4.887783419766951,1.4402721956925957,1.3899385855970632,0.1315850347587855,#d1495b,2228.9361608256586,1983.2420543711632
hb_rachel,HB-Rachel,12,12,83213,83213,404269.7721540281,808707.5443080562,809280.83055645,4.858252582577579,1.4828761880590005,406747.4334521153,4.888027513154379,1.4399200433730392,1.390822501780228,0.12823005372462273,#edae49,2387.10035740491,2223.3042864352465
basic_bayes,Basic-Bayes,12,12,83213,83213,404685.4258930213,809586.8517860426,810323.9341054059,4.863247640308861,1.4756698430411257,407360.9938393552,4.8954008849501305,1.4292825164486773,1.3788530731730873,0.12727998505093152,#a0a0a0,3266.4078353912337,3266.4078353912337
hb_salma,HB-Salma,12,12,83213,83213,406756.3325808667,813656.6651617334,814148.0533746423,4.888134457126491,1.4397657558348191,408620.12734749133,4.910532336864328,1.4074524458106143,1.3568037733013447,0.12796788503687845,#8e6c8a,7336.221211082069,7090.527104627574
hierarchical_online,Hier-Online,12,0,83213,0,407288.1509174985,814768.301834997,815423.4861188756,4.894525505840416,1.4305454215491613,,,,,,#3a7d44,8447.857884345693,8365.95984886086
recombined,Recombined,12,0,83213,0,410005.9584606285,820179.916921257,820753.2031696507,4.927186358629403,1.383425771199284,,,,,,#66a182,13859.472970605711,13695.676899636048
