model,model_label,coherence,prior_std,n_subjects,mean_learned_sd,sd_across_subjects,sem_learned_sd,phase
hierarchical_online,Hier-Online,0.24,80,12,72.17566937561737,4.15964941072637,1.200787353508669,late
recombined,Recombined,0.06,10,12,10.204412142594364,1.6625901904672042,0.4799484470091358,late
recombined,Recombined,0.06,20,12,17.28778242598504,1.5736484112198008,0.4542731669137895,late
recombined,Recombined,0.06,40,12,27.829381958753228,6.244426774222599,1.8026107395161621,late
recombined,Recombined,0.06,80,12,51.14191953937941,17.589026755364056,5.0775146659964845,late
recombined,Recombined,0.12,10,12,10.182310577477287,1.7224213384990776,0.49722021172019903,late
recombined,Recombined,0.12,20,12,17.310246161799494,1.5867528483672821,0.4580560920711279,late
recombined,Recombined,0.12,40,12,27.808322416028677,6.1601590705326,1.778284748811456,late
recombined,Recombined,0.12,80,12,51.14169415570987,17.578048483258435,5.074345511818775,late
recombined,Recombined,0.24,10,12,10.209974516873546,1.7712305444531673,0.5113102158184618,late
recombined,Recombined,0.24,20,12,17.401598385324338,1.533507113501605,0.4426853723921788,late
recombined,Recombined,0.24,40,12,27.55216105386488,6.288752568954744,1.8154064942764863,late
recombined,Recombined,0.24,80,12,51.56342794756029,17.877308308241343,5.160734382074536,late
