subject,coherence,prior_std,believed_sd,believed_alpha,n
5,0.12,40,21.4322259413333,0.5487972850969608,447
5,0.12,80,23.26961055824929,0.505475913794193,825
5,0.24,10,14.018344076072161,0.6198024466995633,186
5,0.24,20,17.826796686149336,0.5890120890431639,150
5,0.24,40,21.588190562390114,0.5479631715236741,180
5,0.24,80,23.417637969017154,0.5016528729390486,422
6,0.06,10,10.234006363539313,0.920751568106139,749
6,0.06,20,17.45396914394002,0.8445043030171246,707
6,0.06,40,23.651062577841792,0.713964881673675,693
6,0.06,80,25.553788324809766,0.5066744104510682,1526
6,0.12,10,10.315517380410311,0.9150202795383191,518
6,0.12,20,17.203889829583314,0.8475170234791845,525
6,0.12,40,23.287267076201108,0.7190323157460752,518
6,0.12,80,25.739950987033488,0.5070230290438983,1050
6,0.24,10,10.341311000374036,0.9177309692738257,280
6,0.24,20,17.613802136204065,0.8404334002255831,196
6,0.24,40,23.503169163734164,0.7213457073540613,203
6,0.24,80,25.496248553283582,0.5081674851615553,588
7,0.06,10,10.588423470992545,0.8706713418818458,535
7,0.06,20,16.98220240553708,0.7691197339945172,624
7,0.06,40,22.017485328083726,0.6389386974873466,499
7,0.06,80,24.86790924150129,0.5093459964343843,1184
7,0.12,10,10.553092347169091,0.8725093492730359,368
7,0.12,20,16.84088087067651,0.7704434303831541,450
7,0.12,40,22.080771375445202,0.6386558493517861,372
7,0.12,80,24.61350971423028,0.5143642693717986,825
7,0.24,10,10.425787909639665,0.8720725149482697,186
7,0.24,20,16.92814337379739,0.7746958345169039,183
7,0.24,40,22.706449524505484,0.6476973663005176,149
7,0.24,80,25.113843011707026,0.504991183937754,422
8,0.06,10,11.61422637275834,0.741079123299155,535
8,0.06,20,16.765026686550847,0.6530380221716325,624
8,0.06,40,21.270590576123396,0.5797284896261141,499
8,0.06,80,23.773123190762654,0.506676086451264,1184
8,0.12,10,11.67111325970674,0.7400595847668618,368
8,0.12,20,16.61323369320492,0.6546558291518967,450
8,0.12,40,20.86799267197234,0.5828363048073422,372
8,0.12,80,23.882189815686523,0.5064635296357398,825
8,0.24,10,11.636389758960085,0.739300038703938,186
8,0.24,20,16.70738065007799,0.654746498790867,183
8,0.24,40,22.13801039710126,0.5686446266501669,149
8,0.24,80,24.010174355249276,0.5041180111741822,422
9,0.06,10,10.8897226315119,0.8072953737406002,856
9,0.06,20,16.555166967402847,0.7013955356173559,808
9,0.06,40,21.2139088515328,0.6029562313281209,792
9,0.06,80,24.32252879239235,0.5019948861397736,1744
9,0.12,10,10.920561983477894,0.8077152159897684,592
9,0.12,20,16.518569730685478,0.7019791918672441,600
9,0.12,40,21.4438067946707,0.6051948016714394,592
9,0.12,80,24.12068503386614,0.5033329967649514,1200
9,0.24,10,10.844685520282178,0.8098379860184179,320
9,0.24,20,16.54074270188234,0.7012786231001403,224
9,0.24,40,21.39148344789114,0.602420121107965,232
