,prior_kappa,motor_kappa,lapse,sensory_kappa_0.06,sensory_kappa_0.12,sensory_kappa_0.24,alpha,lambda,learning_rate,rho
switching_observer,3.2476760554961186,38.9586804661187,0.02637470711998659,4.037288533033151,16.457137957052083,79.95345280974584,,,,
readout_average,,33.44228449050806,0.013565927393388437,2.577151282238499,10.225269694409288,79.95584904727076,0.6553258693085026,0.23789573981819975,,
reliability_mixture,79.38847276821899,41.01913736481795,0.014609507342118981,2.8872994093336057,16.44170947229788,79.99977501684221,,,0.06817433064611794,
integrated_prior,,26.198032421664443,0.019839123811874942,2.6131187554219446,9.921375689965437,79.81102402906818,,,,0.712822239312935
