model,start,evaluation,elapsed_seconds,nll
switching_observer,0,1,0.10059099999489263,21985.52616200756
switching_observer,0,2,0.1848320999997668,22078.00047377323
switching_observer,0,3,0.2665512000094168,21820.958059388104
switching_observer,0,4,0.34845200000563636,22356.973925252878
switching_observer,0,5,0.4488800999824889,21736.916347406957
switching_observer,0,6,0.5597751999739558,21736.26832982932
switching_observer,0,7,0.6851690000039525,21736.031596243673
switching_observer,0,8,0.7775118999998085,21736.030296658537
switching_observer,0,9,0.8686085999943316,21736.03030524694
switching_observer,0,10,0.9588625999749638,21736.03035332461
switching_observer,0,11,1.0490527999936603,22715.277589288984
switching_observer,0,12,1.1562571999966167,21524.447072342242
switching_observer,0,13,1.2404303000075743,21281.702407552744
switching_observer,0,14,1.3217803000006825,21283.67000526475
switching_observer,0,15,1.4035973999998532,21281.36843087562
switching_observer,0,16,1.4854812999838032,21281.367443152783
switching_observer,0,17,1.5758523999829777,21281.367422814394
switching_observer,0,18,1.6620322999660857,21281.367452346833
switching_observer,0,19,1.7467887999955565,22364.602755612374
switching_observer,0,20,1.8294060999760404,21538.01168808173
switching_observer,0,21,1.9131911000004038,21183.97221772576
switching_observer,0,22,1.9985149999847636,21053.136273872973
switching_observer,0,23,2.086291099956725,21003.50455486145
switching_observer,0,24,2.1680339999729767,20982.277161585305
switching_observer,0,25,2.250857300008647,20972.07249098133
switching_observer,0,26,2.3358180999639444,20966.71855036508
switching_observer,0,27,2.42058909998741,20963.737559357276
switching_observer,0,28,2.502013099961914,20962.01230292112
switching_observer,0,29,2.5900532999658026,20960.988893714857
switching_observer,0,30,2.671548099955544,20960.372329748316
switching_observer,0,31,2.7531860999879427,20959.99725911545
switching_observer,0,32,2.835438599984627,20959.767715886777
switching_observer,0,33,2.918924600002356,20959.626709279975
switching_observer,0,34,3.0026597999967635,20959.539889174364
switching_observer,0,35,3.0891203999635763,20959.486355905872
switching_observer,0,36,3.175303799973335,20959.453318011656
switching_observer,0,37,3.2566643999889493,20959.432917590762
switching_observer,0,38,3.33793959999457,20959.41753701075
switching_observer,0,39,3.4194182999781333,21262.701304581915
switching_observer,0,40,3.5022147999843583,20994.897296730313
switching_observer,0,41,3.5952793000033125,21603.067316680626
switching_observer,0,42,3.676822600013111,20959.30918727052
switching_observer,0,43,3.7628007999737747,20952.970678416717
switching_observer,0,44,3.845811099978164,20952.201330894102
switching_observer,0,45,3.927421999978833,20952.18730136288
switching_observer,0,46,4.012001299997792,20952.18689760664
switching_observer,0,47,4.100575899996329,20952.18691949537
switching_observer,0,48,4.182640299957711,20952.186931551885
switching_observer,0,49,4.2658493999624625,22647.99050041402
switching_observer,0,50,4.348211199976504,21087.607828538137
switching_observer,0,51,4.431693399965297,20954.232411342142
switching_observer,0,52,4.514660099986941,20930.807956357545
switching_observer,0,53,4.602746199991088,20930.81230200255
switching_observer,0,54,4.6866925999638624,20930.801078884655
switching_observer,0,55,4.769682799989823,20930.80111864294
switching_observer,0,56,4.853356399980839,20930.801124825637
switching_observer,0,57,4.937537099991459,20976.332334343442
switching_observer,0,58,5.0209783999598585,20929.89932128119
switching_observer,0,59,5.109148999967147,20975.12554860959
switching_observer,0,60,5.190195799979847,20932.97916871179
switching_observer,0,61,5.2742123999632895,20929.98571939966
switching_observer,0,62,5.355686699971557,20929.872164047018
switching_observer,0,63,5.437546900007874,20929.8706158753
switching_observer,0,64,5.5202460999717005,20929.870614527597
switching_observer,0,65,5.616004599956796,20929.870621942304
switching_observer,0,66,5.701167399995029,20929.851678771935
switching_observer,0,67,5.783678899984807,21387.49559763726
switching_observer,0,68,5.866234299959615,20986.194674437498
switching_observer,0,69,5.951732899993658,21536.39833470055
switching_observer,0,70,6.033965400012676,20925.670261104286
switching_observer,0,71,6.125173399981577,20925.178944049607
switching_observer,0,72,6.207536600006279,20925.122077445674
switching_observer,0,73,6.289872399996966,20925.122037793582
switching_observer,0,74,6.371672299981583,20925.12207150652
switching_observer,0,75,6.454742499976419,22511.280864808003
switching_observer,0,76,6.538381099991966,21181.919993830237
switching_observer,0,77,6.628763699962292,20924.66216983555
switching_observer,0,78,6.711308199970517,20927.173043894603
switching_observer,0,79,6.794451699999627,20924.65990718383
switching_observer,0,80,6.876369200006593,20924.659404445767
switching_observer,0,81,6.960526799957734,20924.659429494193
switching_observer,0,82,7.042677299992647,20924.65943874334
switching_observer,0,83,7.133087099995464,22430.384740958456
switching_observer,0,84,7.215645499993116,21526.851638125496
switching_observer,0,85,7.298942999972496,21148.315678555784
switching_observer,0,86,7.381769299972802,21011.254591298268
switching_observer,0,87,7.467150999989826,20962.130249505753
switching_observer,0,88,7.5495155999669805,20928.805142117715
switching_observer,0,89,7.641857100010384,20938.170320355035
switching_observer,0,90,7.724619699991308,20931.961175852066
switching_observer,0,91,7.811878499982413,20927.079540859802
switching_observer,0,92,7.901101199968252,20926.09969805212
switching_observer,0,93,7.984944499970879,20925.52596516057
switching_observer,0,94,8.072112399968319,20925.183250802795
switching_observer,0,95,8.160522899997886,20924.975908315075
switching_observer,0,96,8.244303399987984,20924.849453726987
switching_observer,0,97,8.33185209997464,20924.771942300067
switching_observer,0,98,8.413243399991188,20924.72428186619
switching_observer,0,99,8.494137300003786,20924.694919189275
switching_observer,0,100,8.583414900000207,20924.67680756533
switching_observer,0,101,8.665594299964141,20924.66562751752
switching_observer,0,102,8.747308499994688,21238.638302511572
switching_observer,0,103,8.830312200007029,20965.964865914633
switching_observer,0,104,8.912978100008331,21596.71729987404
switching_observer,0,105,8.99791279999772,20933.276641794797
switching_observer,0,106,9.08682329999283,20925.441585519664
switching_observer,0,107,9.170546799956355,20924.64984551371
switching_observer,0,108,9.253604899975471,20924.63064434757
switching_observer,0,109,9.336843699973542,20924.630005391526
switching_observer,0,110,9.420097199967131,20924.63002613166
switching_observer,0,111,9.50219329999527,20924.63004168316
switching_observer,0,112,9.59446549997665,22644.731227637545
switching_observer,0,113,9.677138899976853,21089.977661929
switching_observer,0,114,9.759050299995579,20942.19740198108
switching_observer,0,115,9.840850099979434,20924.364785900667
switching_observer,0,116,9.923176000011154,20924.35311707645
switching_observer,0,117,10.007113599975128,20924.34299376634
switching_observer,0,118,10.095712399983313,20924.343028316987
switching_observer,0,119,10.17828669998562,20924.34304182131
switching_observer,0,120,10.262693799973931,20988.3707421567
switching_observer,0,121,10.344455399957951,20924.66547917816
switching_observer,0,122,10.426499900000636,20960.87387229955
switching_observer,0,123,10.50764079997316,20926.654597382883
switching_observer,0,124,10.599560100003146,20923.78928048376
switching_observer,0,125,10.679710299998987,20927.07215830895
switching_observer,0,126,10.76343499997165,20923.66191431573
switching_observer,0,127,10.845928700000513,20923.651865675576
switching_observer,0,128,10.930438599956688,20923.651806602815
switching_observer,0,129,11.011467300006188,20923.6518062741
switching_observer,0,130,11.104072299960535,20923.651816456513
switching_observer,1,131,11.18718169996282,21593.354096589523
switching_observer,1,132,11.26997109997319,21831.842149416072
switching_observer,1,133,11.352956799964886,21895.35673360067
switching_observer,1,134,11.436102999956347,22629.471013358067
switching_observer,1,135,11.518707000010181,21553.885318209457
switching_observer,1,136,11.610716699971817,21553.67343947258
switching_observer,1,137,11.690842699958012,21553.675121748856
switching_observer,1,138,11.775083299959078,21553.67337562528
switching_observer,1,139,11.857632900006138,21553.673442169136
switching_observer,1,140,11.943392699991819,22481.4405661856
switching_observer,1,141,12.025217699992936,21237.524498048857
switching_observer,1,142,12.115646499965806,21173.32969933725
switching_observer,1,143,12.198359099973459,21117.05412271108
switching_observer,1,144,12.282073399983346,21117.097066670598
switching_observer,1,145,12.369547099980991,21117.01661964174
switching_observer,1,146,12.45260939997388,21117.01662994698
switching_observer,1,147,12.535449199960567,21117.016691213466
switching_observer,1,148,12.628214999975171,22510.95100002365
switching_observer,1,149,12.709082999965176,21598.787082580202
switching_observer,1,150,12.792112099996302,21239.06670519757
switching_observer,1,151,12.877800199959893,21130.227605281718
switching_observer,1,152,12.962497200001962,21112.46970829605
switching_observer,1,153,13.046084699977655,21111.889403483874
switching_observer,1,154,13.13668489997508,21111.87794369967
switching_observer,1,155,13.22108930000104,21111.877404788494
switching_observer,1,156,13.306926199991722,21111.877412746762
switching_observer,1,157,13.3918039999553,21111.877422745783
switching_observer,1,158,13.478123799955938,21197.694946585296
switching_observer,1,159,13.560953799984418,21446.557398704972
switching_observer,1,160,13.65531080000801,21558.314816014543
switching_observer,1,161,13.738213400007226,21102.160783250532
switching_observer,1,162,13.822641299979296,21087.145615451722
switching_observer,1,163,13.906257199996617,21085.259616153486
