model,heldout_trials,heldout_elpd,mean_log_score,bits_per_trial_over_uniform,heldout_nll,elpd_difference_from_best,comparison_valid
readout_average,2158,-6310.136477652374,-2.9240669497925738,1.9513881137492488,6310.136477652374,0.0,False
integrated_prior,2158,-6348.516414522951,-2.941851906637141,1.9257298447071671,6348.516414522951,-38.379936870576785,False
reliability_mixture,2158,-6379.21355945814,-2.9560767189333363,1.90520777854987,6379.21355945814,-69.07708180576537,False
switching_observer,2158,-6399.291864830118,-2.9653808456117323,1.8917847611311454,6399.291864830118,-89.15538717774416,False
