model,n_parameters,train_nll,train_aic,train_bic,evaluations,elapsed_seconds,optimizer_success,comparison_valid
readout_average,7,20626.1543145744,41266.3086291488,41314.5337873877,449,97.78924169996753,True,False
integrated_prior,6,20738.8892277123,41489.7784554246,41531.11430534366,415,2293.63912040001,True,False
reliability_mixture,7,20882.258624652473,41778.51724930495,41826.74240754385,500,151.92075039999327,False,False
switching_observer,6,20923.6518062741,41859.3036125482,41900.63946246726,350,30.681130499986466,True,False
