prior_width,coherence,multimodal,subject
10,0.06,0.0,1
10,0.12,0.0,1
10,0.24,0.0,1
20,0.06,0.03699284009546539,1
20,0.12,0.07333333333333333,1
20,0.24,0.09236947791164658,1
40,0.06,0.29800498753117205,1
40,0.12,0.2797319932998325,1
40,0.24,0.34297520661157027,1
80,0.06,0.3710618436406068,1
80,0.12,0.38416666666666666,1
80,0.24,0.36486486486486486,1
10,0.06,0.0,2
10,0.12,0.0,2
10,0.24,0.0,2
20,0.06,0.0,2
20,0.12,0.0016666666666666668,2
20,0.24,0.011363636363636364,2
40,0.06,0.038366336633663366,2
40,0.12,0.18166666666666667,2
40,0.24,0.3225806451612903,2
80,0.06,0.35107816711590295,2
80,0.12,0.5114285714285715,2
80,0.24,0.5126050420168067,2
10,0.06,0.0,3
10,0.12,0.0,3
10,0.24,0.0,3
20,0.06,0.0010582010582010583,3
20,0.12,0.07111111111111111,3
20,0.24,0.06382978723404255,3
40,0.06,0.24129353233830847,3
40,0.12,0.3060200668896321,3
40,0.24,0.36065573770491804,3
80,0.06,0.4601354872329338,3
80,0.12,0.44329132690882134,3
80,0.24,0.44274809160305345,3
10,0.06,0.0,4
10,0.12,0.0,4
10,0.24,0.0,4
20,0.06,0.0,4
20,0.12,0.0,4
20,0.24,0.0,4
40,0.06,0.11485148514851486,4
40,0.12,0.21866666666666668,4
40,0.24,0.24516129032258063,4
80,0.06,0.40154015401540155,4
80,0.12,0.4,4
80,0.24,0.4027777777777778,4
10,0.06,0.0,5
10,0.12,0.0,5
10,0.24,0.0,5
20,0.06,0.0,5
20,0.12,0.0,5
20,0.24,0.0,5
40,0.06,0.018333333333333333,5
40,0.12,0.02237136465324385,5
40,0.24,0.016666666666666666,5
80,0.06,0.04814189189189189,5
80,0.12,0.041212121212121214,5
80,0.24,0.061611374407582936,5
10,0.06,0.0,6
10,0.12,0.0,6
10,0.24,0.0,6
20,0.06,0.0,6
20,0.12,0.0,6
20,0.24,0.0,6
40,0.06,0.047619047619047616,6
40,0.12,0.07915057915057915,6
40,0.24,0.13793103448275862,6
80,0.06,0.062254259501965926,6
80,0.12,0.08,6
80,0.24,0.05442176870748299,6
10,0.06,0.0,7
10,0.12,0.0,7
10,0.24,0.0,7
20,0.06,0.0,7
20,0.12,0.0022222222222222222,7
20,0.24,0.0273224043715847,7
40,0.06,0.1843687374749499,7
40,0.12,0.1774193548387097,7
40,0.24,0.22818791946308725,7
80,0.06,0.20439189189189189,7
80,0.12,0.1890909090909091,7
80,0.24,0.22037914691943128,7
10,0.06,0.0,8
10,0.12,0.0,8
10,0.24,0.0,8
20,0.06,0.0,8
20,0.12,0.0,8
20,0.24,0.0,8
40,0.06,0.014028056112224449,8
40,0.12,0.08064516129032258,8
40,0.24,0.1342281879194631,8
80,0.06,0.27449324324324326,8
80,0.12,0.32727272727272727,8
80,0.24,0.35308056872037913,8
10,0.06,0.0,9
10,0.12,0.0,9
10,0.24,0.0,9
20,0.06,0.0,9
20,0.12,0.0,9
20,0.24,0.004464285714285714,9
40,0.06,0.09217171717171717,9
40,0.12,0.08614864864864864,9
40,0.24,0.14655172413793102,9
80,0.06,0.2930045871559633,9
80,0.12,0.29583333333333334,9
80,0.24,0.3273809523809524,9
10,0.06,0.0,10
10,0.12,0.0,10
10,0.24,0.0,10
20,0.06,0.0,10
20,0.12,0.0,10
20,0.24,0.0,10
40,0.06,0.03198653198653199,10
40,0.12,0.11711711711711711,10
40,0.24,0.22413793103448276,10
80,0.06,0.1292743953294412,10
80,0.12,0.10787878787878788,10
80,0.24,0.13636363636363635,10
10,0.06,0.0,11
10,0.12,0.0,11
10,0.24,0.0,11
20,0.06,0.0,11
20,0.12,0.0,11
20,0.24,0.011904761904761904,11
40,0.06,0.12962962962962962,11
40,0.12,0.13963963963963963,11
40,0.24,0.15517241379310345,11
80,0.06,0.3211009174311927,11
80,0.12,0.29333333333333333,11
80,0.24,0.30952380952380953,11
10,0.06,0.0,12
10,0.12,0.0,12
10,0.24,0.0,12
20,0.06,0.0,12
20,0.12,0.0,12
20,0.24,0.0,12
40,0.06,0.015151515151515152,12
40,0.12,0.10585585585585586,12
40,0.24,0.16666666666666666,12
80,0.06,0.35397553516819574,12
80,0.12,0.3811111111111111,12
80,0.24,0.4107142857142857,12
