model,n_parameters,nll,aic,bic,delta_aic,evaluations,elapsed_seconds,optimizer_success
readout_average,7,24927.02988015105,49868.0597603021,49917.445383909035,0.0,120,22.802294499997515,False
integrated_prior,6,25138.84934097901,50289.69868195802,50332.02921647825,421.63892165591824,120,659.0474841999821,False
reliability_mixture,7,28385.917778228228,56785.835556456455,56835.22118006339,6917.775796154354,120,35.32121600001119,False
