model,start,evaluation,elapsed_seconds,nll
readout_average,0,1,0.18768929998623207,25743.06247079635
readout_average,0,2,0.35966189997270703,25841.08882539584
readout_average,0,3,0.5539413999649696,25860.23196917534
readout_average,0,4,0.7311893999576569,26917.13974440346
readout_average,0,5,0.9052189999492839,25598.50199132257
readout_average,0,6,1.08338470000308,25598.253018066505
readout_average,0,7,1.2557300999760628,25606.961343283663
readout_average,0,8,1.4319409999880008,25600.476085629078
readout_average,0,9,1.628770099952817,25610.161140295877
readout_average,0,10,1.8257026999490336,25605.061141341022
readout_average,0,11,2.016932300000917,25602.6371510073
readout_average,0,12,2.2273083999753,25601.77048101048
readout_average,0,13,2.4449021999607794,25601.975777881853
readout_average,0,14,2.627297799976077,25598.347962814394
readout_average,0,15,2.801657499978319,26747.738955108493
readout_average,0,16,2.97936060000211,25369.57226718557
readout_average,0,17,3.177847799961455,25196.969013592887
readout_average,0,18,3.349440199963283,25187.901667200094
readout_average,0,19,3.530308799992781,25186.992112815922
readout_average,0,20,3.709166999964509,25215.143404780378
readout_average,0,21,3.9344585999497212,25194.205950476582
readout_average,0,22,4.139238899981137,25185.12905620206
readout_average,0,23,4.326198900002055,25196.74906220719
readout_average,0,24,4.495428399997763,25191.113768880678
readout_average,0,25,4.678347099979874,25185.988008926564
readout_average,0,26,4.8527902999776416,25184.82278392598
readout_average,0,27,5.0569860999821685,25185.742284887914
readout_average,0,28,5.252240999951027,25184.932209830185
readout_average,0,29,5.439494199992623,25184.75226720158
readout_average,0,30,5.634622499987017,25184.709027120472
readout_average,0,31,5.815055199956987,25184.682433893307
readout_average,0,32,6.008228099963162,25184.66329575179
readout_average,0,33,6.184006099996623,26300.372737038902
readout_average,0,34,6.388191099977121,25410.03256663818
readout_average,0,35,6.62609449995216,25100.270896346497
readout_average,0,36,6.831814799981657,24944.484574524995
readout_average,0,37,7.029994799988344,24935.690971232772
readout_average,0,38,7.255490999959875,24927.10118675611
readout_average,0,39,7.429751899966504,24930.64554492962
readout_average,0,40,7.607174899952952,24928.175979676475
readout_average,0,41,7.783583299955353,24927.61628783106
readout_average,0,42,7.958779199980199,24927.227403475496
readout_average,0,43,8.136864999949466,24927.149259870628
readout_average,0,44,8.368433099996764,24927.07011716104
readout_average,0,45,8.548040399968158,24927.05095060272
readout_average,0,46,8.72406429995317,24927.039118565513
readout_average,0,47,8.898498099995777,24927.02988015105
readout_average,0,48,9.074911599978805,25076.27456130805
readout_average,0,49,9.24414359999355,24911.802311394422
readout_average,0,50,9.420010500005446,24864.847622497306
readout_average,0,51,9.595753899950068,24836.234101661452
readout_average,0,52,9.7772963999887,24825.82825541659
readout_average,0,53,9.951237400004175,24821.974943236142
readout_average,0,54,10.136306999949738,24820.9891362497
readout_average,0,55,10.308811399969272,24823.649870893587
readout_average,0,56,10.479320599988569,24819.75354588512
readout_average,0,57,10.65307830000529,24819.773010731267
readout_average,0,58,10.828170399996452,24819.56014960221
readout_average,0,59,11.001441799977329,24821.493656592007
readout_average,0,60,11.186216799949761,24819.51721174497
readout_average,1,61,11.376871199987363,26230.617517469218
readout_average,1,62,11.551612699986435,26529.19256966684
readout_average,1,63,11.735832099977415,26698.281427437567
readout_average,1,64,11.918135099986102,27855.363450789933
readout_average,1,65,12.10531869996339,26152.07171912238
readout_average,1,66,12.278292100003455,26165.493984549044
readout_average,1,67,12.477130499959458,26226.42907950819
readout_average,1,68,12.728990499977954,26144.25302362218
readout_average,1,69,12.914544500003103,26156.957208581272
readout_average,1,70,13.093831399979535,26180.64114923584
readout_average,1,71,13.27521379996324,26164.34327777054
readout_average,1,72,13.466060999955516,26147.03862871145
readout_average,1,73,13.676645200001076,26158.38438177738
readout_average,1,74,13.871037799981423,26145.50658284359
readout_average,1,75,14.10761479998473,26156.195805623032
readout_average,1,76,14.330585399991833,26144.728006267054
readout_average,1,77,14.546715699951164,26147.51680445041
readout_average,1,78,14.718959199963138,26144.433891506087
readout_average,1,79,14.897045899997465,26144.138089923847
readout_average,1,80,15.138140499999281,27410.005261455615
readout_average,1,81,15.339036499965005,25715.154377261337
readout_average,1,82,15.539655899978243,25620.02751044088
readout_average,1,83,15.733180399984121,25549.437161813898
readout_average,1,84,15.936462299956474,25543.22668781215
readout_average,1,85,16.145712099969387,25584.976276776208
readout_average,1,86,16.369566799956374,25541.979492087907
readout_average,1,87,16.541147399984766,25550.24052144834
readout_average,1,88,16.70839149999665,25541.907969632844
readout_average,1,89,16.908010399958584,25545.50928672129
readout_average,1,90,17.104622799961362,25547.22721465754
readout_average,1,91,17.296666499983985,25545.98447855215
readout_average,1,92,17.471872699970845,25546.09609269753
readout_average,1,93,17.664205299981404,25546.553045646393
readout_average,1,94,17.86395609995816,25541.797399922994
readout_average,1,95,18.038962799997535,25546.658571299573
readout_average,1,96,18.228588099998888,27149.81148710727
readout_average,1,97,18.398871599987615,26073.675051703132
readout_average,1,98,18.5868481999496,25667.317513748974
readout_average,1,99,18.77025699999649,25554.918742434875
readout_average,1,100,18.96712899999693,25534.7547934088
readout_average,1,101,19.145748599956278,25537.63955946144
readout_average,1,102,19.311892899975646,25537.399917881943
readout_average,1,103,19.55589349998627,25534.343422994345
readout_average,1,104,19.742153199971654,25533.818778630124
readout_average,1,105,19.930307000002358,25533.081345322513
readout_average,1,106,20.11425079999026,25532.666509415845
readout_average,1,107,20.301040499994997,25537.63306246263
readout_average,1,108,20.485663999977987,25532.821253718692
readout_average,1,109,20.681749299983494,25532.573170780663
readout_average,1,110,20.876575899950694,25532.516363814095
readout_average,1,111,21.095788699982222,25537.688208482556
readout_average,1,112,21.3102720999741,25532.53798278429
readout_average,1,113,21.5051946999738,25532.50305162259
readout_average,1,114,21.694330099970102,25641.845692595543
readout_average,1,115,21.90218559995992,25480.398912751763
readout_average,1,116,22.07777839998016,25417.46152022412
readout_average,1,117,22.25221549998969,25406.162087203847
readout_average,1,118,22.4358161999844,25406.69196202162
readout_average,1,119,22.622315899992827,25396.797313083083
readout_average,1,120,22.80215079995105,25410.901727555938
