model,start,evaluation,elapsed_seconds,nll
integrated_prior,0,1,4.974966999958269,25953.90490598975
integrated_prior,0,2,9.495827100006863,26177.82063508558
integrated_prior,0,3,13.974114899989218,25833.795290702335
integrated_prior,0,4,18.490391900006216,26102.698435757527
integrated_prior,0,5,23.003763199958485,25816.90673865169
integrated_prior,0,6,27.454221799969673,25811.418767965322
integrated_prior,0,7,31.932188000006136,25861.101649695785
integrated_prior,0,8,36.42852329998277,25825.922620661117
integrated_prior,0,9,41.268809399975,25808.361004081416
integrated_prior,0,10,45.87651059997734,25814.603326308632
integrated_prior,0,11,50.37013920000754,25810.441775040803
integrated_prior,0,12,54.90133349999087,25809.777212532572
integrated_prior,0,13,59.3630753000034,25809.4241321196
integrated_prior,0,14,63.85081309999805,25808.317282876447
integrated_prior,0,15,68.32528529997217,25808.93338925732
integrated_prior,0,16,72.80277519999072,25808.50809015057
integrated_prior,0,17,77.25370319996728,25995.46500556882
integrated_prior,0,18,81.74813059996814,25825.518051866966
integrated_prior,0,19,86.2075222999556,26706.97694086736
integrated_prior,0,20,90.67195129999891,25523.276349979322
integrated_prior,0,21,95.43918899999699,25512.790142190657
integrated_prior,0,22,101.10536589997355,25516.75853048794
integrated_prior,0,23,108.50386120000621,25494.78922741209
integrated_prior,0,24,113.17620019998867,25494.27126547958
integrated_prior,0,25,117.8445553999627,25493.260505497827
integrated_prior,0,26,122.6292311999714,25494.007534790428
integrated_prior,0,27,128.167650999967,25493.59385665493
integrated_prior,0,28,134.00261799996952,25493.803354318356
integrated_prior,0,29,141.48285259999102,25492.99351318775
integrated_prior,0,30,146.21572669997113,25493.032306449546
integrated_prior,0,31,151.27402939996682,25492.740886654698
integrated_prior,0,32,155.72930269996868,26894.68320440298
integrated_prior,0,33,160.20302529999753,25279.242130856837
integrated_prior,0,34,164.79679999995278,25156.56469568827
integrated_prior,0,35,169.2693839999847,25139.28272308573
integrated_prior,0,36,174.3489208999672,25141.581399412622
integrated_prior,0,37,179.6691140999901,25166.6095715524
integrated_prior,0,38,184.07894819998182,25144.483157230097
integrated_prior,0,39,188.53807849995792,25139.20904522433
integrated_prior,0,40,193.20099639997352,25139.413177852333
integrated_prior,0,41,197.62298459996236,25139.412202731066
integrated_prior,0,42,202.05113469995558,25139.941627041553
integrated_prior,0,43,206.4551445999532,25138.84934097901
integrated_prior,0,44,211.23330709995935,25138.988530165676
integrated_prior,0,45,215.88475129997823,25139.02353123406
integrated_prior,0,46,220.56501759996172,25138.926800206373
integrated_prior,0,47,225.26319649996003,26354.091424082406
integrated_prior,0,48,229.931772299984,25353.09405567224
integrated_prior,0,49,234.53393199999118,25068.871372452315
integrated_prior,0,50,245.71352489996934,24972.382145142532
integrated_prior,0,51,252.40275239996845,24938.756684455053
integrated_prior,0,52,258.6550408999901,24919.667548175137
integrated_prior,0,53,265.9604174999986,24925.999895658464
integrated_prior,0,54,273.21323559997836,24917.647592216184
integrated_prior,0,55,284.76035229995614,24917.037479424573
integrated_prior,0,56,290.2230847000028,24915.648235686225
integrated_prior,0,57,295.5230409000069,24915.608638063874
integrated_prior,0,58,301.0122386000003,24915.5630983558
integrated_prior,0,59,306.49923529999796,24915.614550427425
integrated_prior,0,60,311.4212240999914,24915.643811880265
integrated_prior,1,61,316.23758049996104,29047.77222173387
integrated_prior,1,62,321.1810482000001,28374.779490824505
integrated_prior,1,63,326.67913730000146,27803.70853898332
integrated_prior,1,64,334.99599560000934,28353.161391365364
integrated_prior,1,65,342.58522740000626,27818.12071334193
integrated_prior,1,66,350.12244439998176,27802.401649257787
integrated_prior,1,67,357.5118879000074,27806.795757327814
integrated_prior,1,68,363.9026417999994,27799.170171405778
integrated_prior,1,69,368.9888949999586,27800.515196046814
integrated_prior,1,70,374.72937799996,27798.812024996416
integrated_prior,1,71,380.02399899996817,27801.732473232536
integrated_prior,1,72,384.8323068000027,27795.752950280123
integrated_prior,1,73,389.7795996000059,27796.263165422068
integrated_prior,1,74,395.6250819999841,27795.768865868893
integrated_prior,1,75,402.9660685999552,27795.390789024983
integrated_prior,1,76,408.13549249997595,27796.135081205124
integrated_prior,1,77,413.1863488999661,27715.245983125988
integrated_prior,1,78,417.6848922999925,26884.23976924483
integrated_prior,1,79,422.85759709996637,28454.572474318054
integrated_prior,1,80,427.9139318999951,26476.550778305576
integrated_prior,1,81,433.1515417000046,26421.432823076208
integrated_prior,1,82,438.32771629997296,26496.564283500662
integrated_prior,1,83,442.74675930000376,26388.740825291625
integrated_prior,1,84,447.34973549999995,26400.81473628761
integrated_prior,1,85,452.3926822000067,26391.42704438758
integrated_prior,1,86,457.3517146999948,26388.71054186928
integrated_prior,1,87,462.79484439996304,26389.22130753727
integrated_prior,1,88,467.4919323999784,26394.976793097383
integrated_prior,1,89,472.16514930000994,26392.145900816242
integrated_prior,1,90,485.32237489998806,26389.324087327564
integrated_prior,1,91,492.244782499969,26388.92685210114
integrated_prior,1,92,497.424476199958,26389.09142563479
integrated_prior,1,93,502.7729531999794,26389.468504154014
integrated_prior,1,94,508.85631309996825,26388.491049444652
integrated_prior,1,95,513.6452508000075,29206.08213102652
integrated_prior,1,96,519.5402195999632,26527.74312625604
integrated_prior,1,97,525.0626037999755,26472.185213893048
integrated_prior,1,98,531.5994188999757,26378.83336769036
integrated_prior,1,99,540.0847303000046,26378.754942677988
integrated_prior,1,100,544.924676399969,26378.867412697247
integrated_prior,1,101,549.6591586999712,26378.297130520757
integrated_prior,1,102,554.4859417999978,26377.791854585885
integrated_prior,1,103,559.196547199972,26378.02719668206
integrated_prior,1,104,569.4916584999883,26377.977279511706
integrated_prior,1,105,578.4752312999917,26377.642109552406
integrated_prior,1,106,587.1806910999585,26377.596399414357
integrated_prior,1,107,593.0718676999677,27913.686029587312
integrated_prior,1,108,598.7873644999927,26348.59889344703
integrated_prior,1,109,603.3868628999917,25974.66548171673
integrated_prior,1,110,608.2345319999731,25913.977328025445
integrated_prior,1,111,612.6106737999944,25871.263986196212
integrated_prior,1,112,619.5747011000058,25866.714419865435
integrated_prior,1,113,624.6261991999927,25879.584032295923
integrated_prior,1,114,630.0606925999746,25868.123993079746
integrated_prior,1,115,634.7993623999646,25866.664520395097
integrated_prior,1,116,639.4600024999818,25866.859551379475
integrated_prior,1,117,644.3561896999599,25867.29978815605
integrated_prior,1,118,649.3130070999614,25867.59929301848
integrated_prior,1,119,654.0907355999807,25867.426904177784
integrated_prior,1,120,659.0351092999917,25867.492980510753
