,alpha,motor_kappa,lapse,lambda,sensory_kappa_0.06,sensory_kappa_0.12,sensory_kappa_0.24,prior_kappa,learning_rate,rho
readout_average,0.6,30.000000000000004,0.020000000000000004,0.05000000000000001,2.7863723887799354,13.37209177039126,79.97145140923755,,,
reliability_mixture,,30.000000000000004,0.020000000000000004,,8.28651435263702,32.72035457811214,79.96947408644414,2.7,0.10000000000000002,
integrated_prior,,30.000000000000004,0.020000000000000004,,2.7123736082806604,12.042812340330581,12.0,,,0.8442527565808831
