Model,Family,k,SumNLL,SumAIC,SumBIC,SumCV_NLL,CV_nats_per_trial
Recombined,Hierarchical (learning),7,410005.9584606285,820179.916921257,820753.2031696507,87930.60976528688,5.1373991380519035
HB-Adaptive,Hierarchical (learning),6,404376.8077413988,808897.6154827976,809389.0036957065,406727.1217090673,4.922672019692072
HB-Rachel,Hierarchical (learning),7,404269.7721540281,808707.5443080562,809280.83055645,406747.4334521153,4.92205933568186
Basic-Bayes,Bayesian (static),9,404748.69049914455,809713.3809982891,810450.4633176525,407360.9938393551,4.930355911373813
HB-Salma,Hierarchical (learning),6,406756.3325808667,813656.6651617334,814148.0533746423,408620.1273474914,4.945639321413233
Switch,Switch (heuristic),9,403052.22197532566,806320.4439506513,807057.5262700147,411080.86808651243,4.9867273385021775
