subject_id,session_id,run_id,trial_index,motion_direction,estimate_deg,prior_mean,prior_std,motion_coherence,prior_kappa_t,predicted_estimate_deg,p_observed,observed_error_from_motion,predicted_error_from_motion,smoke_trial_order,block_id,trials_into_block,prev_prior_std,prior_std_change,simulated_error_from_motion,abs_simulated_error_from_motion,abs_predicted_error_from_motion,log_probability_of_simulated_response
1,1,1,1,225.0,222.94831222942045,225.0,10.0,0.12,20.73136146112447,225.0,0.021019860580403442,-2.051687770579548,0.0,1,1,1,,,-2.051687770579548,2.051687770579548,0.0,-3.862287546266868
1,1,1,2,225.0,227.65655449818829,225.0,10.0,0.12,20.73136146112447,225.0,0.02091198451565925,2.656554498188285,0.0,2,1,2,,,2.656554498188285,2.656554498188285,0.0,-3.8674328625529526
1,1,1,3,235.0,247.03988463952217,225.0,10.0,0.06,20.73136146112447,229.0,0.011861222383920745,12.039884639522171,-6.0,3,1,3,,,12.039884639522171,12.039884639522171,6.0,-4.434480822939466
1,1,1,4,225.0,229.74392396530556,225.0,10.0,0.06,20.73136146112447,225.0,0.020336839671122858,4.743923965305555,0.0,4,1,4,,,4.743923965305555,4.743923965305555,0.0,-3.8953212755013857
1,1,1,5,215.0,255.55844575995098,225.0,10.0,0.24,20.73136146112447,218.0,0.002066110962981528,40.558445759950985,3.0,5,1,5,,,40.558445759950985,40.558445759950985,3.0,-6.182087200636203
1,1,1,6,205.0,198.73407973606925,225.0,10.0,0.24,20.73136146112447,211.0,0.01616512313672241,-6.265920263930752,6.0,6,1,6,,,-6.265920263930752,6.265920263930752,6.0,-4.124899250343966
1,1,1,7,235.0,239.4097235243657,225.0,10.0,0.06,20.73136146112447,229.0,0.017428285285310232,4.409723524365688,-6.0,7,1,7,,,4.409723524365688,4.409723524365688,6.0,-4.049660801494942
1,1,1,8,215.0,191.8320719599745,225.0,10.0,0.12,20.73136146112447,219.0,0.005856155741186719,-23.167928040025487,4.0,8,1,8,,,-23.167928040025487,23.167928040025487,4.0,-5.140261907528766
1,1,1,9,225.0,211.23584992144876,225.0,10.0,0.12,20.73136146112447,225.0,0.015080496559032642,-13.76415007855124,0.0,9,1,9,,,-13.76415007855124,13.76415007855124,0.0,-4.194352988626638
1,1,2,1,255.0,235.21954403109714,225.0,80.0,0.06,7.573452413736241,244.0,0.01843344207318809,-19.780455968902857,-11.0,10,2,1,10.0,70.0,-19.780455968902857,19.780455968902857,11.0,-3.993588760051396
1,1,2,2,235.0,217.8075108510106,225.0,80.0,0.06,7.556416770465628,231.0,0.015499627995514879,-17.19248914898941,-4.0,11,2,2,10.0,70.0,-17.19248914898941,17.19248914898941,4.0,-4.16693925563431
1,1,2,3,235.0,226.09465041610758,225.0,80.0,0.12,7.539529052947568,233.0,0.019434577878243618,-8.905349583892416,-2.0,12,2,3,10.0,70.0,-8.905349583892416,8.905349583892416,2.0,-3.940701434582279
1,1,2,4,185.0,188.6403816376156,225.0,80.0,0.06,7.52278797669706,199.0,0.017460798594748864,3.6403816376156044,14.0,13,2,4,10.0,70.0,3.6403816376156044,3.6403816376156044,14.0,-4.047796991085793
1,1,2,5,335.0,334.18190443127105,225.0,80.0,0.06,7.5061922683826845,302.0,0.0036186398224151476,-0.8180955687289497,-33.0,14,2,5,10.0,70.0,-0.8180955687289497,0.8180955687289497,33.0,-5.621657063416616
1,1,2,6,155.0,158.24460491078156,225.0,80.0,0.12,7.489740665729749,167.0,0.018447995918370607,3.244604910781561,12.0,15,2,6,10.0,70.0,3.244604910781561,3.244604910781561,12.0,-3.9927995367059674
1,1,2,7,165.0,169.4728522574015,225.0,80.0,0.12,7.473431917424284,176.0,0.019613186437109825,4.472852257401513,11.0,16,2,7,10.0,70.0,4.472852257401513,4.472852257401513,11.0,-3.931553161555365
1,1,2,8,215.0,269.5260213329756,225.0,80.0,0.06,7.457264783017864,219.0,0.0006175777150708233,54.526021332975574,4.0,17,2,8,10.0,70.0,54.526021332975574,54.526021332975574,4.0,-7.389705643015432
1,1,2,9,265.0,245.22888000472759,225.0,80.0,0.06,7.441238032833263,251.0,0.019944543008691726,-19.771119995272414,-14.0,18,2,9,10.0,70.0,-19.771119995272414,19.771119995272414,14.0,-3.9147997064622593
