subject_id,block_id,prior_std,n_trials,start_prior_kappa_t,end_prior_kappa_t,median_abs_simulated_error_deg,mean_log_probability
1,1,10.0,9,20.73136146112447,20.73136146112447,6.265920263930752,-4.416753850654576
1,2,80.0,9,7.573452413736241,7.441238032833263,8.905349583892416,-4.555504616945491
1,3,20.0,9,30.466097177733882,30.7158424905004,13.932940043451197,-4.72493227999713
1,4,40.0,9,8.303793299004166,8.043862441862247,17.129371746583132,-4.895488431006956
1,5,80.0,9,5.460428788253891,5.470614332629292,14.955457590209846,-4.976908054452384
1,6,10.0,9,18.7694776333741,18.901692014277078,20.447153374803975,-4.762259319420696
1,7,20.0,9,32.427981005484256,32.5455119373478,9.734055751807375,-4.982928444665091
1,8,40.0,9,8.303793299004166,8.043862441862247,12.754822126449369,-4.589565874860339
1,9,80.0,9,5.460428788253891,5.470614332629292,13.238863656710862,-4.6474475022817945
1,10,80.0,9,5.611568585985866,5.611568585985866,23.933139944128612,-4.903214582466336
1,11,80.0,9,5.611568585985866,5.611568585985866,16.250801005611578,-4.1943661977302895
1,12,10.0,9,18.7694776333741,18.901692014277078,12.852621081823685,-4.681566528930357
1,13,20.0,9,32.427981005484256,32.5455119373478,18.537684634545798,-4.856585910053703
1,14,40.0,9,8.303793299004166,8.043862441862247,14.180247696750314,-4.487234639841015
1,15,80.0,9,5.460428788253891,5.470614332629292,12.903501711927959,-4.646088728138838
1,16,40.0,9,4.597908305051526,4.587722760676124,10.958726202715013,-4.7711464581921526
1,17,80.0,9,5.460428788253891,5.470614332629292,22.150004577905634,-5.221444767712713
1,18,10.0,9,18.7694776333741,18.901692014277078,14.249274652286942,-4.2832655456587885
1,19,20.0,9,32.427981005484256,32.5455119373478,15.688681457620959,-4.944756725080744
1,20,80.0,9,9.317453579938508,9.06770826717199,21.900522215927936,-5.020763938526172
1,21,20.0,9,30.466097177733882,30.7158424905004,13.28649852799984,-4.685190670019317
1,22,40.0,9,8.303793299004166,8.043862441862247,16.015683524561325,-4.941759251758116
1,23,10.0,9,18.618337835642123,18.760737760920502,14.30006070184126,-4.664928861036224
1,24,80.0,9,7.573452413736241,7.441238032833263,23.971023047164806,-4.885562765232028
1,25,80.0,9,5.611568585985866,5.611568585985866,14.883736013798426,-4.019005346594157
1,26,40.0,9,4.597908305051526,4.587722760676124,15.129694012150424,-4.891655200563521
1,27,80.0,9,5.460428788253891,5.470614332629292,19.391108856631774,-5.060719746950921
1,28,20.0,9,30.466097177733882,30.7158424905004,23.731876314594814,-5.407798225607426
1,29,10.0,9,22.47536262732674,22.3578316954632,25.68806412015141,-5.349725005318128
1,30,80.0,9,7.573452413736241,7.441238032833263,14.831169972554221,-4.7863874761027905
1,31,20.0,9,30.466097177733882,30.7158424905004,5.5851772843574,-4.343674741366476
1,32,80.0,9,9.317453579938508,9.06770826717199,28.714553173855165,-4.972258983128565
1,33,80.0,9,5.611568585985866,5.611568585985866,7.633594995151242,-4.590796877134954
1,34,40.0,9,4.597908305051526,4.587722760676124,19.775906141590838,-5.005260385753514
1,35,10.0,9,18.618337835642123,18.760737760920502,11.376422921342282,-4.497094152160156
1,36,40.0,9,6.559792132801901,6.41739220752352,14.892256215462936,-4.157907776716068
1,37,80.0,9,5.460428788253891,5.470614332629292,18.909669071963663,-4.7297468878817375
1,38,20.0,9,30.466097177733882,30.7158424905004,11.108784327512808,-4.621830654687321
1,39,10.0,9,22.47536262732674,22.3578316954632,6.986353448225941,-4.405784703311149
1,40,80.0,9,7.573452413736241,7.441238032833263,20.894046310582723,-4.223209745650523
2,41,10.0,10,3.0210584582246502,3.0210584582246502,9.978840735039782,-4.338308392566254
2,42,80.0,9,1.149887833357585,1.1419149025742057,41.10852634970598,-4.1778334950761185
2,43,20.0,10,15.045722557340884,15.105098711273003,20.079429988327377,-4.740220259315377
2,44,40.0,10,0.7816459218008782,0.7196243693777532,16.831032084673026,-3.9457960991413303
2,45,80.0,10,1.097706805394739,1.1003522038857454,53.861300664219144,-4.203364644155522
2,46,10.0,9,2.9818775557113946,2.989850486494774,13.521654581986553,-4.81683765399104
2,47,20.0,10,15.08490345985414,15.136306683002879,13.401916448947361,-4.091942071387343
2,48,80.0,10,1.402495654719386,1.3431195007872674,27.26210575371232,-4.234656750031123
2,49,40.0,10,0.4898571979258217,0.48721179943481535,22.041416347225535,-4.0751578120778
2,50,80.0,9,1.097706805394739,1.1003522038857454,29.04902716974115,-3.733816669507997
2,51,80.0,10,1.1107069308443296,1.1107069308443296,47.16918236448551,-4.147293626680938
2,52,10.0,10,2.9818775557113946,2.989850486494774,8.48417493922966,-3.8608424525248237
2,53,20.0,9,15.08490345985414,15.131155487231824,22.824706296139254,-4.18512034051466
2,54,40.0,10,0.7816459218008782,0.7196243693777532,12.010730227743935,-3.976258593101131
2,55,80.0,10,1.097706805394739,1.1003522038857454,50.65685721836877,-3.9867833240525257
2,56,20.0,10,15.045722557340884,15.105098711273003,19.315808268210063,-4.793217622427784
2,57,10.0,9,3.2736662795864513,3.2222630564377117,11.72567513143926,-4.710545978411954
2,58,80.0,10,1.149887833357585,1.1419149025742057,53.26624305545538,-4.449765159077783
2,59,40.0,10,0.4898571979258217,0.48721179943481535,15.877767824560678,-4.118621341006049
2,60,80.0,10,1.097706805394739,1.1003522038857454,56.722018168332795,-4.021492937606667
2,61,40.0,9,0.4898571979258217,0.48721179943481535,15.958408449461473,-4.729437861202749
2,62,20.0,10,15.032722431891292,15.094743984314418,10.281932712872475,-4.304101543525403
2,63,10.0,10,3.2736662795864513,3.2222630564377117,13.095778783889443,-4.87128836348348
2,64,80.0,10,1.149887833357585,1.1419149025742057,55.2739175765786,-3.999320915181125
2,65,80.0,9,1.1107069308443296,1.1107069308443296,58.49739427731507,-4.781406132190501
